AREA,GENERIC-TEXT,INSTAGRAM-TEXT
Alabama,"The number of people living in Alabama was 5,024,279 as of April 1, 2020, an increase of 5.1% since the 2010 Census. #2020Census 

View Alabama’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Alabama was 5,024,279 as of April 1, 2020, an increase of 5.1% since the 2010 Census. #2020Census 

#Alabama #AL"
Alaska,"The number of people living in Alaska was 733,391 as of April 1, 2020, an increase of 3.3% since the 2010 Census. #2020Census 

View Alaska’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Alaska was 733,391 as of April 1, 2020, an increase of 3.3% since the 2010 Census. #2020Census 

#Alaska #AK"
Arizona,"The number of people living in Arizona was 7,151,502 as of April 1, 2020, an increase of 11.9% since the 2010 Census. #2020Census 

View Arizona’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Arizona was 7,151,502 as of April 1, 2020, an increase of 11.9% since the 2010 Census. #2020Census 

#Arizona #AZ"
Arkansas,"The number of people living in Arkansas was 3,011,524 as of April 1, 2020, an increase of 3.3% since the 2010 Census. #2020Census 

View Arkansas’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Arkansas was 3,011,524 as of April 1, 2020, an increase of 3.3% since the 2010 Census. #2020Census 

#Arkansas #AR"
California,"The number of people living in California was 39,538,223 as of April 1, 2020, an increase of 6.1% since the 2010 Census. #2020Census 

View California’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in California was 39,538,223 as of April 1, 2020, an increase of 6.1% since the 2010 Census. #2020Census 

#California #CA"
Colorado,"The number of people living in Colorado was 5,773,714 as of April 1, 2020, an increase of 14.8% since the 2010 Census. #2020Census 

View Colorado’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Colorado was 5,773,714 as of April 1, 2020, an increase of 14.8% since the 2010 Census. #2020Census 

#Colorado #CO"
Connecticut,"The number of people living in Connecticut was 3,605,944 as of April 1, 2020, an increase of 0.9% since the 2010 Census. #2020Census 

View Connecticut’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Connecticut was 3,605,944 as of April 1, 2020, an increase of 0.9% since the 2010 Census. #2020Census 

#Connecticut #CT"
Delaware,"The number of people living in Delaware was 989,948 as of April 1, 2020, an increase of 10.2% since the 2010 Census. #2020Census 

View Delaware’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Delaware was 989,948 as of April 1, 2020, an increase of 10.2% since the 2010 Census. #2020Census 

#Delaware #DE"
District of Columbia,"The number of people living in District of Columbia was 689,545 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

View District of Columbia’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in District of Columbia was 689,545 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

#DistrictofColumbia #DC"
Florida,"The number of people living in Florida was 21,538,187 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

View Florida’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Florida was 21,538,187 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

#Florida #FL"
Georgia,"The number of people living in Georgia was 10,711,908 as of April 1, 2020, an increase of 10.6% since the 2010 Census. #2020Census 

View Georgia’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Georgia was 10,711,908 as of April 1, 2020, an increase of 10.6% since the 2010 Census. #2020Census 

#Georgia #GA"
Hawaii,"The number of people living in Hawaii was 1,455,271 as of April 1, 2020, an increase of 7.0% since the 2010 Census. #2020Census 

View Hawaii’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Hawaii was 1,455,271 as of April 1, 2020, an increase of 7.0% since the 2010 Census. #2020Census 

#Hawaii #HI"
Idaho,"The number of people living in Idaho was 1,839,106 as of April 1, 2020, an increase of 17.3% since the 2010 Census. #2020Census 

View Idaho’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Idaho was 1,839,106 as of April 1, 2020, an increase of 17.3% since the 2010 Census. #2020Census 

#Idaho #ID"
Illinois,"The number of people living in Illinois was 12,812,508 as of April 1, 2020, a decrease of -0.1% since the 2010 Census. #2020Census 

View Illinois’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Illinois was 12,812,508 as of April 1, 2020, a decrease of -0.1% since the 2010 Census. #2020Census 

#Illinois #IL"
Indiana,"The number of people living in Indiana was 6,785,528 as of April 1, 2020, an increase of 4.7% since the 2010 Census. #2020Census 

View Indiana’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Indiana was 6,785,528 as of April 1, 2020, an increase of 4.7% since the 2010 Census. #2020Census 

#Indiana #IN"
Iowa,"The number of people living in Iowa was 3,190,369 as of April 1, 2020, an increase of 4.7% since the 2010 Census. #2020Census 

View Iowa’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Iowa was 3,190,369 as of April 1, 2020, an increase of 4.7% since the 2010 Census. #2020Census 

#Iowa #IA"
Kansas,"The number of people living in Kansas was 2,937,880 as of April 1, 2020, an increase of 3.0% since the 2010 Census. #2020Census 

View Kansas’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Kansas was 2,937,880 as of April 1, 2020, an increase of 3.0% since the 2010 Census. #2020Census 

#Kansas #KS"
Kentucky,"The number of people living in Kentucky was 4,505,836 as of April 1, 2020, an increase of 3.8% since the 2010 Census. #2020Census 

View Kentucky’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Kentucky was 4,505,836 as of April 1, 2020, an increase of 3.8% since the 2010 Census. #2020Census 

#Kentucky #KY"
Louisiana,"The number of people living in Louisiana was 4,657,757 as of April 1, 2020, an increase of 2.7% since the 2010 Census. #2020Census 

View Louisiana’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Louisiana was 4,657,757 as of April 1, 2020, an increase of 2.7% since the 2010 Census. #2020Census 

#Louisiana #LA"
Maine,"The number of people living in Maine was 1,362,359 as of April 1, 2020, an increase of 2.6% since the 2010 Census. #2020Census 

View Maine’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Maine was 1,362,359 as of April 1, 2020, an increase of 2.6% since the 2010 Census. #2020Census 

#Maine #ME"
Maryland,"The number of people living in Maryland was 6,177,224 as of April 1, 2020, an increase of 7.0% since the 2010 Census. #2020Census 

View Maryland’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Maryland was 6,177,224 as of April 1, 2020, an increase of 7.0% since the 2010 Census. #2020Census 

#Maryland #MD"
Massachusetts,"The number of people living in Massachusetts was 7,029,917 as of April 1, 2020, an increase of 7.4% since the 2010 Census. #2020Census 

View Massachusetts’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Massachusetts was 7,029,917 as of April 1, 2020, an increase of 7.4% since the 2010 Census. #2020Census 

#Massachusetts #MA"
Michigan,"The number of people living in Michigan was 10,077,331 as of April 1, 2020, an increase of 2.0% since the 2010 Census. #2020Census 

View Michigan’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Michigan was 10,077,331 as of April 1, 2020, an increase of 2.0% since the 2010 Census. #2020Census 

#Michigan #MI"
Minnesota,"The number of people living in Minnesota was 5,706,494 as of April 1, 2020, an increase of 7.6% since the 2010 Census. #2020Census 

View Minnesota’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Minnesota was 5,706,494 as of April 1, 2020, an increase of 7.6% since the 2010 Census. #2020Census 

#Minnesota #MN"
Mississippi,"The number of people living in Mississippi was 2,961,279 as of April 1, 2020, a decrease  of -0.2% since the 2010 Census. #2020Census 

View Mississippi’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Mississippi was 2,961,279 as of April 1, 2020, a decrease  of -0.2% since the 2010 Census. #2020Census 

#Mississippi #MS"
Missouri,"The number of people living in Missouri was 6,154,913 as of April 1, 2020, an increase of 2.8% since the 2010 Census. #2020Census 

View Missouri’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Missouri was 6,154,913 as of April 1, 2020, an increase of 2.8% since the 2010 Census. #2020Census 

#Missouri #MO"
Montana,"The number of people living in Montana was 1,084,225 as of April 1, 2020, an increase of 9.6% since the 2010 Census. #2020Census 

View Montana’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Montana was 1,084,225 as of April 1, 2020, an increase of 9.6% since the 2010 Census. #2020Census 

#Montana #MT"
Nebraska,"The number of people living in Nebraska was 1,961,504 as of April 1, 2020, an increase of 7.4% since the 2010 Census. #2020Census 

View Nebraska’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Nebraska was 1,961,504 as of April 1, 2020, an increase of 7.4% since the 2010 Census. #2020Census 

#Nebraska #NE"
Nevada,"The number of people living in Nevada was 3,104,614 as of April 1, 2020, an increase of 15.0% since the 2010 Census. #2020Census 

View Nevada’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Nevada was 3,104,614 as of April 1, 2020, an increase of 15.0% since the 2010 Census. #2020Census 

#Nevada #NV"
New Hampshire,"The number of people living in New Hampshire was 1,377,529 as of April 1, 2020, an increase of 4.6% since the 2010 Census. #2020Census 

View New Hampshire’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in New Hampshire was 1,377,529 as of April 1, 2020, an increase of 4.6% since the 2010 Census. #2020Census 

#NewHampshire #NH"
New Jersey,"The number of people living in New Jersey was 9,288,994 as of April 1, 2020, an increase of 5.7% since the 2010 Census. #2020Census 

View New Jersey’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in New Jersey was 9,288,994 as of April 1, 2020, an increase of 5.7% since the 2010 Census. #2020Census 

#NewJersey #NJ"
New Mexico,"The number of people living in New Mexico was 2,117,522 as of April 1, 2020, an increase of 2.8% since the 2010 Census. #2020Census 

View New Mexico’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in New Mexico was 2,117,522 as of April 1, 2020, an increase of 2.8% since the 2010 Census. #2020Census 

#NewMexico #NM"
New York,"The number of people living in New York was 20,201,249 as of April 1, 2020, an increase of 4.2% since the 2010 Census. #2020Census 

View New York’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in New York was 20,201,249 as of April 1, 2020, an increase of 4.2% since the 2010 Census. #2020Census 

#NewYork #NY"
North Carolina,"The number of people living in North Carolina was 10,439,388 as of April 1, 2020, an increase of 9.5% since the 2010 Census. #2020Census 

View North Carolina’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in North Carolina was 10,439,388 as of April 1, 2020, an increase of 9.5% since the 2010 Census. #2020Census 

#NorthCarolina #NC"
North Dakota,"The number of people living in North Dakota was 779,094 as of April 1, 2020, an increase of 15.8% since the 2010 Census. #2020Census 

View North Dakota’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in North Dakota was 779,094 as of April 1, 2020, an increase of 15.8% since the 2010 Census. #2020Census 

#NorthDakota #ND"
Ohio,"The number of people living in Ohio was 11,799,448 as of April 1, 2020, an increase of 2.3% since the 2010 Census. #2020Census 

View Ohio’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Ohio was 11,799,448 as of April 1, 2020, an increase of 2.3% since the 2010 Census. #2020Census 

#Ohio #OH"
Oklahoma,"The number of people living in Oklahoma was 3,959,353 as of April 1, 2020, an increase of 5.5% since the 2010 Census. #2020Census 

View Oklahoma’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Oklahoma was 3,959,353 as of April 1, 2020, an increase of 5.5% since the 2010 Census. #2020Census 

#Oklahoma #OK"
Oregon,"The number of people living in Oregon was 4,237,256 as of April 1, 2020, an increase of 10.6% since the 2010 Census. #2020Census 

View Oregon’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Oregon was 4,237,256 as of April 1, 2020, an increase of 10.6% since the 2010 Census. #2020Census 

#Oregon #OR"
Pennsylvania,"The number of people living in Pennsylvania was 13,002,700 as of April 1, 2020, an increase of 2.4% since the 2010 Census. #2020Census 

View Pennsylvania’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Pennsylvania was 13,002,700 as of April 1, 2020, an increase of 2.4% since the 2010 Census. #2020Census 

#Pennsylvania #PA"
Rhode Island,"The number of people living in Rhode Island was 1,097,379 as of April 1, 2020, an increase of 4.3% since the 2010 Census. #2020Census 

View Rhode Island’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Rhode Island was 1,097,379 as of April 1, 2020, an increase of 4.3% since the 2010 Census. #2020Census 

#RhodeIsland #RI"
South Carolina,"The number of people living in South Carolina was 5,118,425 as of April 1, 2020, an increase of 10.7% since the 2010 Census. #2020Census 

View South Carolina’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in South Carolina was 5,118,425 as of April 1, 2020, an increase of 10.7% since the 2010 Census. #2020Census 

#SouthCarolina #SC"
South Dakota,"The number of people living in South Dakota was 886,667 as of April 1, 2020, an increase of 8.9% since the 2010 Census. #2020Census 

View South Dakota’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in South Dakota was 886,667 as of April 1, 2020, an increase of 8.9% since the 2010 Census. #2020Census 

#SouthDakota #SD"
Tennessee,"The number of people living in Tennessee was 6,910,840 as of April 1, 2020, an increase of 8.9% since the 2010 Census. #2020Census 

View Tennessee’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Tennessee was 6,910,840 as of April 1, 2020, an increase of 8.9% since the 2010 Census. #2020Census 

#Tennessee #TN"
Texas,"The number of people living in Texas was 29,145,505 as of April 1, 2020, an increase of 15.9% since the 2010 Census. #2020Census 

View Texas’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Texas was 29,145,505 as of April 1, 2020, an increase of 15.9% since the 2010 Census. #2020Census 

#Texas #TX"
Utah,"The number of people living in Utah was 3,271,616 as of April 1, 2020, an increase of 18.4% since the 2010 Census. #2020Census 

View Utah’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Utah was 3,271,616 as of April 1, 2020, an increase of 18.4% since the 2010 Census. #2020Census 

#Utah #UT"
Vermont,"The number of people living in Vermont was 643,077 as of April 1, 2020, an increase of 2.8% since the 2010 Census. #2020Census 

View Vermont’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Vermont was 643,077 as of April 1, 2020, an increase of 2.8% since the 2010 Census. #2020Census 

#Vermont #VT"
Virginia,"The number of people living in Virginia was 8,631,393 as of April 1, 2020, an increase of 7.9% since the 2010 Census. #2020Census 

View Virginia’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Virginia was 8,631,393 as of April 1, 2020, an increase of 7.9% since the 2010 Census. #2020Census 

#Virginia #VA"
Washington,"The number of people living in Washington was 7,705,281 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

View Washington’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Washington was 7,705,281 as of April 1, 2020, an increase of 14.6% since the 2010 Census. #2020Census 

#Washington #WA"
West Virginia,"The number of people living in West Virginia was 1,793,716 as of April 1, 2020, a decrease of -3.2% since the 2010 Census. #2020Census 

View West Virginia’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in West Virginia was 1,793,716 as of April 1, 2020, a decrease of -3.2% since the 2010 Census. #2020Census 

#WestVirginia #WV"
Wisconsin,"The number of people living in Wisconsin was 5,893,718 as of April 1, 2020, an increase of 3.6% since the 2010 Census. #2020Census 

View Wisconsin’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Wisconsin was 5,893,718 as of April 1, 2020, an increase of 3.6% since the 2010 Census. #2020Census 

#Wisconsin #WI"
Wyoming,"The number of people living in Wyoming was 576,851 as of April 1, 2020, an increase of 2.3% since the 2010 Census. #2020Census 

View Wyoming’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Wyoming was 576,851 as of April 1, 2020, an increase of 2.3% since the 2010 Census. #2020Census 

#Wyoming #WY"
Puerto Rico,"The number of people living in Puerto Rico was 3,285,874 as of April 1, 2020, a decrease of -11.8% since the 2010 Census. #2020Census 

View Puerto Rico’s population change by decade 👉 https://go.usa.gov/xHnkH","The number of people living in Puerto Rico was 3,285,874 as of April 1, 2020, a decrease of -11.8% since the 2010 Census. #2020Census 

#PuertoRico #PR"